00000001	
00000000	01010101010100000000000000000000
00000001	00010100000000000000000000000001
00000002	00000000001000000000000000000001
00000003	00000000010000000000000000000010
00000004	00010000000000000000000000000100
00000005	00010100000000000000000000000101
00000006	00011000000000000000000000000110
00000007	00011100000000000000000000000111
00000008	01010101010101010101010101010101
00000009	01101101101101101101101101101101
0000000A	10010010010010010010010010010010
000000D1	11001100110011001100110011001100
000000E4	10000100001000010000100001000010
000000C5	00010001000100010001000100010001
000000E9	00000000000000000000000000000000
0000010A	11111111111111111111111111111111
